Problem Size,Execution Time (s),Solution Found
2,0.05632352828979492,1
3,0.006896257400512695,1
4,0.022010326385498047,1
5,0.028980731964111328,1
6,0.030069351196289062,1
7,0.03565263748168945,1
8,0.03889632225036621,1
9,0.015993595123291016,1
10,0.029497146606445312,1
11,0.030559778213500977,1
12,0.05007815361022949,1
13,0.0334320068359375,1
14,0.030910968780517578,1
15,0.047411203384399414,1
16,0.03799009323120117,1
17,0.08093142509460449,1
18,0.05114459991455078,1
19,0.05807304382324219,1
20,0.07695126533508301,1
21,0.07944822311401367,1
22,0.11261606216430664,1
23,0.08235454559326172,1
24,0.1256563663482666,1
25,0.05421566963195801,1
26,0.08904838562011719,1
27,0.15159058570861816,1
28,0.08579063415527344,1
29,0.30116915702819824,1
30,0.12072515487670898,1
31,0.4597742557525635,1
32,0.24208331108093262,1
33,0.23012757301330566,1
34,0.5190980434417725,1
35,0.45575547218322754,1
36,0.5945217609405518,1
37,0.7409520149230957,1
38,0.36876487731933594,1
39,0.618401288986206,1
40,1.0366947650909424,1
41,1.5501787662506104,1
42,1.073002576828003,1
43,0.8275749683380127,1
44,0.6331596374511719,1
45,1.207531452178955,1
46,1.013685941696167,1
47,0.8209109306335449,1
48,2.318896770477295,1
49,1.4328408241271973,1
50,2.079758882522583,1
51,1.4372403621673584,1
52,1.4637346267700195,1
53,1.2858548164367676,1
54,2.884371042251587,1
55,1.8637652397155762,1
56,3.977060079574585,1
57,3.1271684169769287,1
58,2.7574963569641113,1
59,2.5159029960632324,1
60,5.041203737258911,1
61,6.411698579788208,1
62,6.178551912307739,1
63,5.966415643692017,1
64,5.300950288772583,1
65,4.702591419219971,1
66,5.704945802688599,1
67,4.9251625537872314,1
68,5.670023441314697,1
69,4.1867077350616455,1
70,8.388000965118408,1
71,8.54106593132019,1
72,6.022520542144775,1
73,5.709223031997681,1
74,6.769164562225342,1
75,7.97021222114563,1
76,7.49193549156189,1
77,9.788098096847534,1
78,6.913781404495239,1
79,8.221034288406372,1
80,7.880870819091797,1
81,11.437726736068726,1
82,15.680164813995361,1
83,12.162595987319946,1
84,13.018074035644531,1
85,10.15282940864563,1
86,7.373206615447998,1
87,23.621490716934204,1
88,24.463001251220703,1
89,21.263871431350708,1
90,24.307106971740723,1
91,17.435545682907104,1
92,24.08756136894226,1
93,24.944375038146973,1
94,37.043514013290405,1
95,46.06241464614868,1
96,43.34570550918579,1
97,23.151577949523926,1
98,32.389594078063965,1
99,14.911305665969849,1
100,17.385299921035767,1
101,28.71757173538208,1
102,34.17496132850647,1
103,29.22246742248535,1
104,60,0
